species,longitude,latitude
Rubus chamaemorus,4546735.444,4052483.61
Rubus chamaemorus,4306964.551,3790486.141
Rubus chamaemorus,4327262.021,4068420.533
Rubus chamaemorus,5189228.096,4880472.626
Rubus chamaemorus,4610545.594,5101969.78
Rubus chamaemorus,4192400.831,3942192.947
Rubus chamaemorus,4513608.22,4404987.442
Rubus chamaemorus,4696397.411,4574875.821
Rubus chamaemorus,4951463.472,5030179.57
Rubus chamaemorus,4194101.531,3946639.413
Rubus chamaemorus,4476043.333,4754692.501
Rubus chamaemorus,4169109.259,4056286.462
Rubus chamaemorus,4338294.123,4105168.314
Rubus chamaemorus,4975485.121,5277868.728
Rubus chamaemorus,4772056.456,5129546.494
Rubus chamaemorus,4556428.974,3802816.271
Rubus chamaemorus,4891935.83,5226610.669
Rubus chamaemorus,4888311.628,5224495.631
Rubus chamaemorus,4100781.52,4330065.59
Rubus chamaemorus,4360800.421,4044010.078
Rubus chamaemorus,5213421.644,4394559.726
Rubus chamaemorus,5119299.958999999,4214990.985
Rubus chamaemorus,5036618.097,4636225.034
Rubus chamaemorus,5176954.34,4337358.63
Rubus chamaemorus,4539750.857,4111549.283
Rubus chamaemorus,4267619.39,4199636.813
Rubus chamaemorus,5009980.083,4321944.447
Rubus chamaemorus,4766985.509,5162068.142
Rubus chamaemorus,4586411.879,4166525.589
Rubus chamaemorus,4598578.667,5151705.929
Rubus chamaemorus,4367931.591,4270378.852
Rubus chamaemorus,5100538.188,4325568.405
Rubus chamaemorus,4483589.863,4731687.48
Rubus chamaemorus,4566261.609,4484025.193
Rubus chamaemorus,4219463.255,4483441.342
Rubus chamaemorus,5133332.359,4227502.402
Rubus chamaemorus,5317049.142,4121382.258
Rubus chamaemorus,4290019.1,4426553.979
Rubus chamaemorus,4167445.93,4409703.303
Rubus chamaemorus,5002391.794,4849891.222000001
Rubus chamaemorus,4575007.481,4304158.323
Rubus chamaemorus,5038344.038999999,5336195.688999999
Rubus chamaemorus,4563525.297,5142931.961
Rubus chamaemorus,5041340.859,4972865.687
Rubus chamaemorus,5026825.781,4378739.794
Rubus chamaemorus,4978099.843,5261985.675
Rubus chamaemorus,4548941.157,4342956.088
Rubus chamaemorus,5014268.896,4688242.642
Rubus chamaemorus,5178348.434000001,4096874.319
Rubus chamaemorus,4675157.417,5190280.6280000005
Rubus chamaemorus,4909097.87,5051814.37
Rubus chamaemorus,4568280.401,4259004.666
Rubus chamaemorus,5140440.049,4219983.008
Rubus chamaemorus,4529959.216,4616589.806
Rubus chamaemorus,4162401.784,4042894.974
Rubus chamaemorus,5145625.696,4867204.198
Rubus chamaemorus,4471332.916,4336974.639
Rubus chamaemorus,4152622.561,3946862.762
Rubus chamaemorus,4576110.5,4972371.201
Rubus chamaemorus,4621127.119,5066254.474
Rubus chamaemorus,4510240.761,3818156.322
Rubus chamaemorus,4572623.246,3850119.088
Rubus chamaemorus,4473882.231,4483472.121
Rubus chamaemorus,4291873.232,4260931.393
Rubus chamaemorus,4761944.065,4630243.654
Rubus chamaemorus,5208850.789,4706603.506
Rubus chamaemorus,5102762.842,5262189.075
Rubus chamaemorus,4633713.465,5185275.569
Rubus chamaemorus,4914193.557,5062741.765
Rubus chamaemorus,5009936.106,4685086.911
Rubus chamaemorus,4448659.279,4605018.927
Rubus chamaemorus,5286910.383,4691376.513
Rubus chamaemorus,4502047.016,4324393.35
Rubus chamaemorus,4276002.664,4463984.951
Rubus chamaemorus,5063246.918,4039708.73
Rubus chamaemorus,4872078.25,5041696.704
Rubus chamaemorus,5155159.319,4069128.974
Rubus chamaemorus,4745653.359,4029399.941
Rubus chamaemorus,5138943.178,4301100.252
Rubus chamaemorus,4556715.323,4828538.57
Rubus chamaemorus,4761529.463,5155508.662
Rubus chamaemorus,4539874.965,4122634.85
Rubus chamaemorus,4526162.771,3804653.497
Rubus chamaemorus,4603116.916,5026196.304
Rubus chamaemorus,4635996.912,5181291.116000001
Rubus chamaemorus,4542012.148,4556940.704
Rubus chamaemorus,5184612.482999999,4246103.743
Rubus chamaemorus,5105161.324,4600918.756
Rubus chamaemorus,4066681.353,4149584.326
Rubus chamaemorus,4319744.181,4340122.308
Rubus chamaemorus,4781425.4459999995,4805281.489
Rubus chamaemorus,4754420.371,4758687.868
Rubus chamaemorus,5086810.169,5372911.03
Rubus chamaemorus,4958636.39,4126586.032
Rubus chamaemorus,4776269.073,5136804.98
Rubus chamaemorus,4813858.762,4986700.928
Rubus chamaemorus,4754843.866,4879567.771
Rubus chamaemorus,5311440.242,4690845.452
Rubus chamaemorus,4421855.96,4708322.464
Rubus chamaemorus,4819091.353000001,5130982.741
Rubus chamaemorus,4865840.157,5165566.697
Rubus chamaemorus,4712588.276,4710974.653
Rubus chamaemorus,5296849.785,4718195.743
