species,longitude,latitude
Rubus chamaemorus,4476117.447,4754777.632
Rubus chamaemorus,5002920.503,4963704.685
Rubus chamaemorus,4985230.507,4217928.107
Rubus chamaemorus,4860741.814,5049580.875
Rubus chamaemorus,4172093.037,4154843.017
Rubus chamaemorus,4087149.078,4324184.351
Rubus chamaemorus,5089066.156,4392815.568
Rubus chamaemorus,5112931.348000001,4325565.248
Rubus chamaemorus,5066640.25,4489243.671
Rubus chamaemorus,4303923.463,4448782.925
Rubus chamaemorus,5152644.099,4225415.736
Rubus chamaemorus,4553018.135,4468881.426
Rubus chamaemorus,4700042.294,4903253.9
Rubus chamaemorus,4982081.457,5289455.863
Rubus chamaemorus,4401201.003,4305082.817
Rubus chamaemorus,5036126.458,5228174.247
Rubus chamaemorus,4295567.623,4094838.296
Rubus chamaemorus,5270808.524,4737305.501
Rubus chamaemorus,4333642.418,4092274.226
Rubus chamaemorus,4334833.382,3758148.438
Rubus chamaemorus,4325499.161,4084414.606
Rubus chamaemorus,4290376.543,4259737.685
Rubus chamaemorus,4548923.253,5046178.714
Rubus chamaemorus,4418512.911,4286004.381
Rubus chamaemorus,4884795.486,4171447.672
Rubus chamaemorus,4222315.726,4157555.108
Rubus chamaemorus,5281019.648,4645056.878
Rubus chamaemorus,4934859.667999999,4955034.292
Rubus chamaemorus,4888398.323,5224421.711
Rubus chamaemorus,4161119.985,4130440.427
Rubus chamaemorus,5108576.229,4699042.686
Rubus chamaemorus,5150087.394,4136464.463
Rubus chamaemorus,4382932.621,4361667.338
Rubus chamaemorus,4513888.945,4686012.751
Rubus chamaemorus,4247578.578,4206339.578
Rubus chamaemorus,4791110.239,4956077.867
Rubus chamaemorus,4485361.557,4293294.887
Rubus chamaemorus,5019384.697999999,4688507.271
Rubus chamaemorus,4725177.267,4860179.977
Rubus chamaemorus,4448546.428,4816872.851
Rubus chamaemorus,4809081.021000001,5322079.099
Rubus chamaemorus,4330634.219,4092320.033
Rubus chamaemorus,4093128.317,4173528.211
Rubus chamaemorus,4792389.554,5138969.176
Rubus chamaemorus,5146145.766,4285355.284
Rubus chamaemorus,5150064.515,4891160.169999999
Rubus chamaemorus,5107377.315,4299430.969
Rubus chamaemorus,5005258.766,4899986.015
Rubus chamaemorus,4463659.601,4284448.445
Rubus chamaemorus,5010856.495999999,4949483.061000001
Rubus chamaemorus,4323293.001,4328173.245
Rubus chamaemorus,5076223.619,5217068.662
Rubus chamaemorus,4908008.865,5140281.466
Rubus chamaemorus,4424437.119,4517590.612
Rubus chamaemorus,4270884.99,4114884.038
Rubus chamaemorus,5114921.414000001,4224855.192
Rubus chamaemorus,4472564.259,4096283.391
Rubus chamaemorus,5017223.207,4700314.94
Rubus chamaemorus,4371089.479,4487374.944
Rubus chamaemorus,4261037.36,4468686.787
Rubus chamaemorus,5204167.884,4117810.767
Rubus chamaemorus,4291526.033,4181909.879
Rubus chamaemorus,4311991.797,4348526.105
Rubus chamaemorus,4304853.185,4244787.777
Rubus chamaemorus,4819392.974,5091622.81
Rubus chamaemorus,5191154.621,4302708.121
Rubus chamaemorus,5376336.175,4497865.505
Rubus chamaemorus,5056779.519,4669113.216
Rubus chamaemorus,5062473.74,4419143.741
Rubus chamaemorus,4309383.771,4399724.457
Rubus chamaemorus,5153139.5600000005,4498502.007
Rubus chamaemorus,4136175.315,4167241.417
Rubus chamaemorus,4643466.602,5098641.237
Rubus chamaemorus,4986579.415,5243386.887
Rubus chamaemorus,4370450.313,4223524.471
Rubus chamaemorus,4448866.176,4660807.095
Rubus chamaemorus,4747086.045,4472081.881
Rubus chamaemorus,4813121.239,5106411.289
Rubus chamaemorus,4946156.871,5320551.305
Rubus chamaemorus,4208645.434,4179332.505
Rubus chamaemorus,4429565.214,4776128.887
Rubus chamaemorus,5157458.302,4272731.384
Rubus chamaemorus,5010457.988,4683159.946
Rubus chamaemorus,5030606.605000001,4879668.647
Rubus chamaemorus,5077843.75,4214728.278
Rubus chamaemorus,4341256.2,4275952.534
Rubus chamaemorus,4965719.88,4963947.812
Rubus chamaemorus,5126932.52,4259571.373
Rubus chamaemorus,4672332.645,4531973.519
Rubus chamaemorus,5010153.589,4672787.07
Rubus chamaemorus,4679137.089,4559059.837
Rubus chamaemorus,5137727.427,4443417.18
Rubus chamaemorus,4544302.074,4907144.503
Rubus chamaemorus,5052424.115,4681403.101
Rubus chamaemorus,5060400.055,4713273.218
Rubus chamaemorus,4237597.091,4412346.265
Rubus chamaemorus,4767257.477,5161113.8719999995
Rubus chamaemorus,4358968.498,4098007.061
Rubus chamaemorus,4526706.291,4595714.469
Rubus chamaemorus,5323185.668,4616655.085
Rubus chamaemorus,4932347.450000001,4837367.174
Rubus chamaemorus,4419340.905,4309256.226
Rubus chamaemorus,4439764.295,4221768.06
Rubus chamaemorus,5117631.738,4218264.248
Rubus chamaemorus,4857898.077,5246601.57
Rubus chamaemorus,4959865.583,5278620.647
Rubus chamaemorus,4689763.287,4709263.061
Rubus chamaemorus,4709857.115,4411391.164
Rubus chamaemorus,4754050.92,4155199.776
Rubus chamaemorus,4753726.546,5221816.181
Rubus chamaemorus,4610163.629,4247071.613
Rubus chamaemorus,4325824.376,4079420.026
Rubus chamaemorus,4701696.167,4829474.622
Rubus chamaemorus,4557850.823,5136693.037
Rubus chamaemorus,4333833,3755173.8900000006
Rubus chamaemorus,5122487.169,4221372.549
