species,longitude,latitude
Rubus chamaemorus,4392385.266,4410806.256
Rubus chamaemorus,4470231.762,3771970.195
Rubus chamaemorus,4597812.755,3795369
Rubus chamaemorus,4694907.247,4185957.374
Rubus chamaemorus,4177697.035,4090217.786
Rubus chamaemorus,4773127.539,4160903.501
Rubus chamaemorus,4676937.4,4558219.249
Rubus chamaemorus,4709191.237,3896060.51
Rubus chamaemorus,4909592.98,5163471.293
Rubus chamaemorus,4618645.337,5155448.521
Rubus chamaemorus,4890431.667,5327048.285
Rubus chamaemorus,4411301.661,4501716.987
Rubus chamaemorus,4558803.358,4149733.576
Rubus chamaemorus,4520452.7,3890254.828
Rubus chamaemorus,4678559.708,3737249.594
Rubus chamaemorus,4624754.145,3902773.505
Rubus chamaemorus,4271278.448,4114994.024
Rubus chamaemorus,4575467.011,4385913.521
Rubus chamaemorus,4802484.594,5030993.442
Rubus chamaemorus,4487775.26,3851431.897
Rubus chamaemorus,4500441.27,3709103.247
Rubus chamaemorus,4854184.366,5065939.131
Rubus chamaemorus,4422227.605,4065964.579
Rubus chamaemorus,4772685.142,5168605.748
Rubus chamaemorus,4528635.428,4520916.532
Rubus chamaemorus,4757942.505,4654657.389
Rubus chamaemorus,4894570.225,4799198.359
Rubus chamaemorus,4580761.742,5057624.431999999
Rubus chamaemorus,4210207.741,4016387.61
Rubus chamaemorus,4986858.286,5317881.786
Rubus chamaemorus,4698571.502,5226435.9
Rubus chamaemorus,4361416.858,4563094.599
Rubus chamaemorus,4686550.612,5078329.678
Rubus chamaemorus,4905062.458,4870364.253999999
Rubus chamaemorus,4401013.23,4645787.765
Rubus chamaemorus,4682973.279,4098891.243
Rubus chamaemorus,4846430.877,4930460.683
Rubus chamaemorus,4764012.565,4864128.86
Rubus chamaemorus,4273303.046,4234533.451
Rubus chamaemorus,4600665.436,4242715.638
Rubus chamaemorus,4605667.419,3836570.522
Rubus chamaemorus,4135990.94,4167546.146
Rubus chamaemorus,4636699.094,3868684.226
Rubus chamaemorus,4406752.102,4000132.68
Rubus chamaemorus,4464732.969,4812090.571
Rubus chamaemorus,4527850.243,4940238.522
Rubus chamaemorus,4682557.475,4099455.252
Rubus chamaemorus,4158410.794,4182633.479
Rubus chamaemorus,4549641.547,4122364.113
Rubus chamaemorus,4594916.76,3716776.203
Rubus chamaemorus,4695322.52,4019648.671
Rubus chamaemorus,4240026.408,4344014.686
Rubus chamaemorus,4455911.886,4133877.085
Rubus chamaemorus,4275454.249,4493175.69
Rubus chamaemorus,5070647.743,5273909.533
Rubus chamaemorus,4550464.391,3615271.953
Rubus chamaemorus,4471457.194,4669256.463
Rubus chamaemorus,4421931.712,4065622.696
Rubus chamaemorus,4566130.64,4280452.9
Rubus chamaemorus,4268008.402,4031707.967
Rubus chamaemorus,4591580.628,3745127.495
Rubus chamaemorus,4563981.794,3973356.075
Rubus chamaemorus,4793021.251,4927628.55
Rubus chamaemorus,4827397.304,5154451.711
Rubus chamaemorus,4391926.627,3985454.136
Rubus chamaemorus,4888296.663,5277259.927
Rubus chamaemorus,4500716.279,4567641.136
Rubus chamaemorus,4565439.537,4289293.41
Rubus chamaemorus,4587064.533,4539890.71
Rubus chamaemorus,4463787.63,4465015.032
Rubus chamaemorus,4872697.633,5268007.242
Rubus chamaemorus,4238665.63,4299317.254
Rubus chamaemorus,4448646.792,3898914.397
Rubus chamaemorus,4460534.637,3830547.827
Rubus chamaemorus,4617352.914,3912682.803
Rubus chamaemorus,4753577.958,5173146.296
Rubus chamaemorus,4405823.128,4148869.924
Rubus chamaemorus,4534539.721,3951198.29
Rubus chamaemorus,4387137.738,4391780.49
Rubus chamaemorus,4679227.572,4498867.014
Rubus chamaemorus,4427106.2,4447854.804
Rubus chamaemorus,4098810.791,4202172.288
Rubus chamaemorus,4444235.067,3844467.58
Rubus chamaemorus,4694662.362,5105999.18
Rubus chamaemorus,4197950.259,4189814.742
Rubus chamaemorus,4555017.457,3663303.798
Rubus chamaemorus,4706828.364,4695083.992
Rubus chamaemorus,4326258.005,4354699.325
Rubus chamaemorus,4412470.559,4518945.332
Rubus chamaemorus,4689838.718,4709933.202
Rubus chamaemorus,4640600.886,3765336.838
Rubus chamaemorus,4864656.701,4996164.456
Rubus chamaemorus,4863342.263,4975897.552
Rubus chamaemorus,4964034.418,4814540.503
Rubus chamaemorus,4198196.093,4189754.1099999994
Rubus chamaemorus,4578396.246,3729438.393
Rubus chamaemorus,4687641.331,3918487.774
Rubus chamaemorus,4619231.556,4148876.712
Rubus chamaemorus,4831578.863000001,3831101.607
Rubus chamaemorus,4552944.829,3743359.348
Rubus chamaemorus,4688327.934,4089078.744
Rubus chamaemorus,4528972.372,4846754.491000001
Rubus chamaemorus,4424766.228,4052698.217
Rubus chamaemorus,4573324.385,3798714.144
Rubus chamaemorus,4590204.691,4116045.236
Rubus chamaemorus,4484127.907,4082816.386
Rubus chamaemorus,4675398.066,3761795.246
Rubus chamaemorus,4955980.43,5348914.578
Rubus chamaemorus,4750197.243,4134941.4630000005
Rubus chamaemorus,4484863.542,4701816.352
Rubus chamaemorus,4431947.55,4589888.127
Rubus chamaemorus,4726921.549,3993029.292
Rubus chamaemorus,4627369.595,3753239.303
Rubus chamaemorus,4593673.619,4196194.293
Rubus chamaemorus,4360696.541,4474429.246
Rubus chamaemorus,4711424.418,4115467.246
Rubus chamaemorus,4577181.336,4480273.252
Rubus chamaemorus,4454550.156,4760062.014
Rubus chamaemorus,4930844.875,5148975.276
Rubus chamaemorus,4167968.883,4410911.803
Rubus chamaemorus,4500847.367,4108566.875
Rubus chamaemorus,4436943.671,4565910.038
Rubus chamaemorus,4605518.948,3770936.527
Rubus chamaemorus,4719948.94,3955719.156
Rubus chamaemorus,4260804.391,4209758.948
Rubus chamaemorus,4654631.245,3845623.952
Rubus chamaemorus,4593813.999,4197323.863
Rubus chamaemorus,4538391.896,3764722.829
Rubus chamaemorus,4109689.058,4368144.98
Rubus chamaemorus,4659798.304,3961197.785
Rubus chamaemorus,4648959.126,4361626.333
Rubus chamaemorus,4398618.951,4260791.943
Rubus chamaemorus,4517971.246,3855556.551
Rubus chamaemorus,4335379.547,4426767.61
Rubus chamaemorus,4551198.829,4227646.974
Rubus chamaemorus,4776063.478,4645792.378
Rubus chamaemorus,4665247.361,4752023.256
Rubus chamaemorus,4618153.328,3687604.751
Rubus chamaemorus,4565971.553,4813775.506
Rubus chamaemorus,4870063.406,4846702.090999999
Rubus chamaemorus,4865095.6,5118458.756
Rubus chamaemorus,4525804.312,4351019.097
Rubus chamaemorus,4563852.832,4474746.584
Rubus chamaemorus,4375728.221,4294543.937
Rubus chamaemorus,4432391.106,4663926.396
Rubus chamaemorus,4472749.993,4366589.436
Rubus chamaemorus,4581964.569,4215782.295
Rubus chamaemorus,4661123.797,4221463.343
Rubus chamaemorus,4547596.078,4353249.217
Rubus chamaemorus,4289400.717,4011249.79
Rubus chamaemorus,4200823.763,3989108.442
Rubus chamaemorus,4559419.588,5095071.664
Rubus chamaemorus,4343075.403,4548381.128
Rubus chamaemorus,4206690.527,3941326.102
Rubus chamaemorus,4719348.735,4552018.198
Rubus chamaemorus,4710429.332,4785851.909
Rubus chamaemorus,4523074.805,4501271.713
Rubus chamaemorus,4374459.234,4464762.51
Rubus chamaemorus,4396622.717,3990912.06
Rubus chamaemorus,4276388.968,4124877.566
Rubus chamaemorus,4544908.494,4849898.818
Rubus chamaemorus,4671174.406,3866898.869
Rubus chamaemorus,5036732.361,5313824.82
Rubus chamaemorus,4699573.991,5107973.83
Rubus chamaemorus,4789351.9,4147345.558
Rubus chamaemorus,4189449.789,4159037.237
Rubus chamaemorus,4584718.949,4465242.363
Rubus chamaemorus,4352224.68,4279601.657
Rubus chamaemorus,4837572.858,3881356.759
Rubus chamaemorus,4821637.04,4589866.624
Rubus chamaemorus,4493284.846,3858305.174
Rubus chamaemorus,4840069.945,5134604.437
Rubus chamaemorus,4859967.626,5200207.398
Rubus chamaemorus,4727582.316,4683354.511
Rubus chamaemorus,4567040.723,4847350.038
Rubus chamaemorus,4086153.0510000004,4327352.142
Rubus chamaemorus,4529058.357,4750955.98
Rubus chamaemorus,4845752.062,5186548.432
Rubus chamaemorus,4884525.760000001,5184755.14
Rubus chamaemorus,4630934.008,4115000.612
Rubus chamaemorus,4595972.538,3870635.224000001
Rubus chamaemorus,4619264.66,4378930.417
Rubus chamaemorus,4443109.133,4270173.942
Rubus chamaemorus,4672893.163,4372089.252
Rubus chamaemorus,4776927.237,5237376.873
Rubus chamaemorus,4854684.352,4737189.583
Rubus chamaemorus,4705671.186,5206024.328
Rubus chamaemorus,4802394.247,5229415.694
Rubus chamaemorus,4710272.257,3959799.886
Rubus chamaemorus,5086723.741,5372985.522
Rubus chamaemorus,4892487.324,4798736.958
Rubus chamaemorus,4548099.612,5055053.363
Rubus chamaemorus,4656434.914,3756377.19
Rubus chamaemorus,4654543.995,3965589.542
Rubus chamaemorus,4266565.366,4451848.747
Rubus chamaemorus,4661800.095,3937578.1099999994
Rubus chamaemorus,4846436.929,4845061.246
Rubus chamaemorus,4682023.407,3698689.397
Rubus chamaemorus,4464200.565,4381593.097
Rubus chamaemorus,4544897.582,3826978.885
Rubus chamaemorus,4278964.339,4227398.828
Rubus chamaemorus,4614760.794,4063521.243
Rubus chamaemorus,4383914.28,4264347.242
Rubus chamaemorus,4564373.501,3949291.993
Rubus chamaemorus,4458264.486,4570652.389
Rubus chamaemorus,4483465.678,4071109.843
Rubus chamaemorus,4559503.929,4339295.838
Rubus chamaemorus,4241092.875,4047890.837
Rubus chamaemorus,4654284.69,3735664.61
Rubus chamaemorus,4179602.756,4004304.393
Rubus chamaemorus,4700172.808,4250044.756
Rubus chamaemorus,4561695.741,3633650.06
Rubus chamaemorus,4474483.79,3900512.811
Rubus chamaemorus,4756420.509,4803478.481
Rubus chamaemorus,4685621.826,3713120.196
Rubus chamaemorus,4491663.211,3922446.777
Rubus chamaemorus,4848734.398,5227560.293
Rubus chamaemorus,4640298.109,3779439.079
Rubus chamaemorus,4632404.609,3803459.4550000005
Rubus chamaemorus,4575294.037,4890059.165
Rubus chamaemorus,4667600.109,4096504.318
Rubus chamaemorus,4385548.829,3989329.436
Rubus chamaemorus,4556186.352,4574313.675
Rubus chamaemorus,4518017.914,4725669.3319999995
Rubus chamaemorus,4607108.477,4161704.164
Rubus chamaemorus,4841151.279,4916240.841
Rubus chamaemorus,4863973.639,5247699.713
Rubus chamaemorus,4656311.06,4101479.953
Rubus chamaemorus,5064429.001,5350229.13
Rubus chamaemorus,4277905.47,4333498.471
Rubus chamaemorus,4651856.818,4856019.13
Rubus chamaemorus,4668186.842,3862833.492
Rubus chamaemorus,4742597.815,4488103.838
Rubus chamaemorus,4667912.946,4152286.021
Rubus chamaemorus,4291840.401,4384803.839
Rubus chamaemorus,4618343.711,4082993.665
Rubus chamaemorus,4751666.682,4863101.657
Rubus chamaemorus,4666024.075,3761884.757
Rubus chamaemorus,4335440.965,4427011.835
Rubus chamaemorus,5068643.589,5362518.52
Rubus chamaemorus,4780584.351,4071346.23
Rubus chamaemorus,4806460.082,4118046.257
Rubus chamaemorus,4376036.181,4294726.977
Rubus chamaemorus,4651364.017,4456359.692
Rubus chamaemorus,4872958.915,4977482.027
Rubus chamaemorus,4628298.722,5027039.244
Rubus chamaemorus,4145366.756,4088851.319
Rubus chamaemorus,4386902.781,4584227.659
Rubus chamaemorus,4508449.861,4249585.218
Rubus chamaemorus,4601948.334,4213351.769
Rubus chamaemorus,5038344.416,5336196.915
Rubus chamaemorus,4712387.38,5227031.034
Rubus chamaemorus,4694020.387,3738733.514
Rubus chamaemorus,4727145.998,4527516.531
Rubus chamaemorus,4633063.527,5157099.387
Rubus chamaemorus,4917235.969,4876289.889
Rubus chamaemorus,4464497.119,3841225.3790000007
Rubus chamaemorus,4234711.28,4089870.775
Rubus chamaemorus,4594088.938,3975931.512
Rubus chamaemorus,4812045.111999999,4668860.861
Rubus chamaemorus,4499339.267,4602287.873
Rubus chamaemorus,4081984.65,3954609.639
Rubus chamaemorus,4433555.587,4261132.113
Rubus chamaemorus,4778281.368,5186717.508999999
Rubus chamaemorus,4713227.947,4830358.411
Rubus chamaemorus,4411215.917,4525414.956
Rubus chamaemorus,4570279.425,4638755.637
Rubus chamaemorus,4621424.542,5066592.815
Rubus chamaemorus,4272447.687,4391197.265
Rubus chamaemorus,4697579.911,3803819.069
Rubus chamaemorus,4602678.012,3911584.234
Rubus chamaemorus,4799473.194,4986317.995
Rubus chamaemorus,4487441.476,3770134.8199999994
Rubus chamaemorus,4266031.805,4256940.611
Rubus chamaemorus,4847533.156,5263684.747
Rubus chamaemorus,4124367.977,4053101.7299999995
Rubus chamaemorus,4624704.334,3778553.965
Rubus chamaemorus,4723742.682999999,3726657.019
Rubus chamaemorus,4115436.459,4193947.999
Rubus chamaemorus,4722089.09,4890438.958
Rubus chamaemorus,4751282.505,4570637.83
Rubus chamaemorus,4819142.896,5004377.405000001
Rubus chamaemorus,4753006.897,4610592.05
Rubus chamaemorus,4664403.937,4191530.071
Rubus chamaemorus,4106791.210999999,4322555.987
Rubus chamaemorus,4302777.33,4151131.3550000004
Rubus chamaemorus,4361059.975,4317069.409
Rubus chamaemorus,4938390.762,5203600.866999999
Rubus chamaemorus,4203841.474,4251669.761
Rubus chamaemorus,4474614.156,4291715.518
Rubus chamaemorus,4971720.823000001,5320738.929
Rubus chamaemorus,4869849.059,4847111.248999999
Rubus chamaemorus,4674741.748,3778322.177
Rubus chamaemorus,4635094.874,4299944.894
Rubus chamaemorus,4591138.754,4325781.266
Rubus chamaemorus,4542767.978,4482046.938
Rubus chamaemorus,4601752.266,4232033.31
Rubus chamaemorus,4556774.751,4263795.629
Rubus chamaemorus,4161736.667,4134402.36
Rubus chamaemorus,4676139.046,3690064.478
Rubus chamaemorus,4455170.099,4253811.849
Rubus chamaemorus,4334901.776,4007160.214
Rubus chamaemorus,4807330.22,4972437.559
Rubus chamaemorus,4417255.599,4560701.106
Rubus chamaemorus,4219487.587,4171204.291
Rubus chamaemorus,4212516.006,3999236.602
Rubus chamaemorus,4546969.007,3857392.408
Rubus chamaemorus,4667576.938,4278300.823
Rubus chamaemorus,4911138.035,5135593.377
Rubus chamaemorus,4628479.989,3798720.942
Rubus chamaemorus,4728184.984,4101504.844
Rubus chamaemorus,4605589.232,5033321.012000001
Rubus chamaemorus,4179391.513,3914521.888
Rubus chamaemorus,4637387.028,3750068.162
Rubus chamaemorus,4674730.094,4028266.98
Rubus chamaemorus,4593749.441,4087061.085
Rubus chamaemorus,4619860.208,4659041.186
Rubus chamaemorus,4479721.987,4226072.028
Rubus chamaemorus,4638984.773,4375780.694
Rubus chamaemorus,4863417.723,4806918.926
Rubus chamaemorus,4260644.788,4158722.6650000005
Rubus chamaemorus,4569857.209,4334886.434
Rubus chamaemorus,4776137.348999999,4561010.036
Rubus chamaemorus,4541403.336,3702231.011999999
Rubus chamaemorus,4480272.053,4121823.378
Rubus chamaemorus,4437689.155,4582081.933
Rubus chamaemorus,4599420.038,4127604.6
Rubus chamaemorus,4154775.015,3913140.759
Rubus chamaemorus,4641030.177,4059711.965
Rubus chamaemorus,4708192.646,3849677.758
Rubus chamaemorus,4826586.448,3831119.055
Rubus chamaemorus,4546347.749,4492540.128
Rubus chamaemorus,4365671.666,4534841.151
Rubus chamaemorus,4654235.488,5051324.497
Rubus chamaemorus,4616075.035,5150550.201999999
Rubus chamaemorus,4805332.123,4853982.999
Rubus chamaemorus,4839849.862,5237589.296
Rubus chamaemorus,4360899.846,4317057.278
Rubus chamaemorus,4397433.367,4237957.913
Rubus chamaemorus,4420598.133,3991732.854
Rubus chamaemorus,4275248.463,4002423.623
Rubus chamaemorus,4177511.831,3941518.661
Rubus chamaemorus,4689203.843,4245482.698
Rubus chamaemorus,4863972.275,4900676.47
Rubus chamaemorus,4430941.216,4546010.745
Rubus chamaemorus,4546656.105,4418175.74
Rubus chamaemorus,4468653.078,4495852.924
